
CAH level 1,Level of qualification,Mode of study,Country of HE provider,Sex,Academic Year,Number
"06 Agriculture, food and related studies",Postgraduate (taught),All,England,Total,2020/21,1075
"06 Agriculture, food and related studies",Postgraduate (taught),Full-time,England,Female,2019/20,405
"06 Agriculture, food and related studies",Postgraduate (taught),Full-time,England,Male,2019/20,220
"06 Agriculture, food and related studies",Postgraduate (taught),Full-time,England,Other,2019/20,0
"06 Agriculture, food and related studies",Postgraduate (taught),Full-time,England,Total,2019/20,620
"06 Agriculture, food and related studies",Postgraduate (taught),Full-time,England,Female,2020/21,415
"06 Agriculture, food and related studies",Postgraduate (taught),Full-time,England,Male,2020/21,285
"06 Agriculture, food and related studies",Postgraduate (taught),Full-time,England,Other,2020/21,0
"06 Agriculture, food and related studies",Postgraduate (taught),Full-time,England,Total,2020/21,705
"06 Agriculture, food and related studies",Postgraduate (taught),Part-time,England,Female,2019/20,195
"06 Agriculture, food and related studies",Postgraduate (taught),Part-time,England,Male,2019/20,95
"06 Agriculture, food and related studies",Postgraduate (taught),Part-time,England,Other,2019/20,0
"06 Agriculture, food and related studies",Postgraduate (taught),Part-time,England,Total,2019/20,285
"06 Agriculture, food and related studies",Postgraduate (taught),Part-time,England,Female,2020/21,270
"06 Agriculture, food and related studies",Postgraduate (taught),Part-time,England,Male,2020/21,100
"06 Agriculture, food and related studies",Postgraduate (taught),Part-time,England,Other,2020/21,0
"06 Agriculture, food and related studies",Postgraduate (taught),Part-time,England,Total,2020/21,370
"06 Agriculture, food and related studies",Postgraduate (taught),All,Northern Ireland,Female,2019/20,55
"06 Agriculture, food and related studies",Postgraduate (taught),All,Northern Ireland,Male,2019/20,10
"06 Agriculture, food and related studies",Postgraduate (taught),All,Northern Ireland,Other,2019/20,0
"06 Agriculture, food and related studies",Postgraduate (taught),All,Northern Ireland,Total,2019/20,65
"06 Agriculture, food and related studies",Postgraduate (taught),All,Northern Ireland,Female,2020/21,30
"06 Agriculture, food and related studies",Postgraduate (taught),All,Northern Ireland,Male,2020/21,15
"06 Agriculture, food and related studies",Postgraduate (taught),All,Northern Ireland,Other,2020/21,0
"06 Agriculture, food and related studies",Postgraduate (taught),All,Northern Ireland,Total,2020/21,50
"06 Agriculture, food and related studies",Postgraduate (taught),Full-time,Northern Ireland,Female,2019/20,20
"06 Agriculture, food and related studies",Postgraduate (taught),Full-time,Northern Ireland,Male,2019/20,10
"06 Agriculture, food and related studies",Postgraduate (taught),Full-time,Northern Ireland,Other,2019/20,0
"06 Agriculture, food and related studies",Postgraduate (taught),Full-time,Northern Ireland,Total,2019/20,25
"06 Agriculture, food and related studies",Postgraduate (taught),Full-time,Northern Ireland,Female,2020/21,15
"06 Agriculture, food and related studies",Postgraduate (taught),Full-time,Northern Ireland,Male,2020/21,10
"06 Agriculture, food and related studies",Postgraduate (taught),Full-time,Northern Ireland,Other,2020/21,0
"06 Agriculture, food and related studies",Postgraduate (taught),Full-time,Northern Ireland,Total,2020/21,25
"06 Agriculture, food and related studies",Postgraduate (taught),Part-time,Northern Ireland,Female,2019/20,35
"06 Agriculture, food and related studies",Postgraduate (taught),Part-time,Northern Ireland,Male,2019/20,5
"06 Agriculture, food and related studies",Postgraduate (taught),Part-time,Northern Ireland,Other,2019/20,0
"06 Agriculture, food and related studies",Postgraduate (taught),Part-time,Northern Ireland,Total,2019/20,35
"06 Agriculture, food and related studies",Postgraduate (taught),Part-time,Northern Ireland,Female,2020/21,15
"06 Agriculture, food and related studies",Postgraduate (taught),Part-time,Northern Ireland,Male,2020/21,5
"06 Agriculture, food and related studies",Postgraduate (taught),Part-time,Northern Ireland,Other,2020/21,0
"06 Agriculture, food and related studies",Postgraduate (taught),Part-time,Northern Ireland,Total,2020/21,20
"06 Agriculture, food and related studies",Postgraduate (taught),All,Scotland,Female,2019/20,150
"06 Agriculture, food and related studies",Postgraduate (taught),All,Scotland,Male,2019/20,120
"06 Agriculture, food and related studies",Postgraduate (taught),All,Scotland,Other,2019/20,0
"06 Agriculture, food and related studies",Postgraduate (taught),All,Scotland,Total,2019/20,270
"06 Agriculture, food and related studies",Postgraduate (taught),All,Scotland,Female,2020/21,135
"06 Agriculture, food and related studies",Postgraduate (taught),All,Scotland,Male,2020/21,110
"06 Agriculture, food and related studies",Postgraduate (taught),All,Scotland,Other,2020/21,0
"06 Agriculture, food and related studies",Postgraduate (taught),All,Scotland,Total,2020/21,245
"06 Agriculture, food and related studies",Postgraduate (taught),Full-time,Scotland,Female,2019/20,100
"06 Agriculture, food and related studies",Postgraduate (taught),Full-time,Scotland,Male,2019/20,90
"06 Agriculture, food and related studies",Postgraduate (taught),Full-time,Scotland,Other,2019/20,0
"06 Agriculture, food and related studies",Postgraduate (taught),Full-time,Scotland,Total,2019/20,190
"06 Agriculture, food and related studies",Postgraduate (taught),Full-time,Scotland,Female,2020/21,75
"06 Agriculture, food and related studies",Postgraduate (taught),Full-time,Scotland,Male,2020/21,80
"06 Agriculture, food and related studies",Postgraduate (taught),Full-time,Scotland,Other,2020/21,0
"06 Agriculture, food and related studies",Postgraduate (taught),Full-time,Scotland,Total,2020/21,155
"06 Agriculture, food and related studies",Postgraduate (taught),Part-time,Scotland,Female,2019/20,50
"06 Agriculture, food and related studies",Postgraduate (taught),Part-time,Scotland,Male,2019/20,30
"06 Agriculture, food and related studies",Postgraduate (taught),Part-time,Scotland,Other,2019/20,0
"06 Agriculture, food and related studies",Postgraduate (taught),Part-time,Scotland,Total,2019/20,80
"06 Agriculture, food and related studies",Postgraduate (taught),Part-time,Scotland,Female,2020/21,55
"06 Agriculture, food and related studies",Postgraduate (taught),Part-time,Scotland,Male,2020/21,30
"06 Agriculture, food and related studies",Postgraduate (taught),Part-time,Scotland,Other,2020/21,0
"06 Agriculture, food and related studies",Postgraduate (taught),Part-time,Scotland,Total,2020/21,85
"06 Agriculture, food and related studies",Postgraduate (taught),All,Wales,Female,2019/20,65
"06 Agriculture, food and related studies",Postgraduate (taught),All,Wales,Male,2019/20,55
"06 Agriculture, food and related studies",Postgraduate (taught),All,Wales,Other,2019/20,0
"06 Agriculture, food and related studies",Postgraduate (taught),All,Wales,Total,2019/20,115
"06 Agriculture, food and related studies",Postgraduate (taught),All,Wales,Female,2020/21,75
"06 Agriculture, food and related studies",Postgraduate (taught),All,Wales,Male,2020/21,50
"06 Agriculture, food and related studies",Postgraduate (taught),All,Wales,Other,2020/21,0
"06 Agriculture, food and related studies",Postgraduate (taught),All,Wales,Total,2020/21,125
"06 Agriculture, food and related studies",Postgraduate (taught),Full-time,Wales,Female,2019/20,40
"06 Agriculture, food and related studies",Postgraduate (taught),Full-time,Wales,Male,2019/20,30
"06 Agriculture, food and related studies",Postgraduate (taught),Full-time,Wales,Other,2019/20,0
"06 Agriculture, food and related studies",Postgraduate (taught),Full-time,Wales,Total,2019/20,70
"06 Agriculture, food and related studies",Postgraduate (taught),Full-time,Wales,Female,2020/21,55
"06 Agriculture, food and related studies",Postgraduate (taught),Full-time,Wales,Male,2020/21,35
"06 Agriculture, food and related studies",Postgraduate (taught),Full-time,Wales,Other,2020/21,0
"06 Agriculture, food and related studies",Postgraduate (taught),Full-time,Wales,Total,2020/21,85
"06 Agriculture, food and related studies",Postgraduate (taught),Part-time,Wales,Female,2019/20,25
"06 Agriculture, food and related studies",Postgraduate (taught),Part-time,Wales,Male,2019/20,25
"06 Agriculture, food and related studies",Postgraduate (taught),Part-time,Wales,Other,2019/20,0
"06 Agriculture, food and related studies",Postgraduate (taught),Part-time,Wales,Total,2019/20,50
"06 Agriculture, food and related studies",Postgraduate (taught),Part-time,Wales,Female,2020/21,20
"06 Agriculture, food and related studies",Postgraduate (taught),Part-time,Wales,Male,2020/21,15
"06 Agriculture, food and related studies",Postgraduate (taught),Part-time,Wales,Other,2020/21,0
"06 Agriculture, food and related studies",Postgraduate (taught),Part-time,Wales,Total,2020/21,40
"06 Agriculture, food and related studies",All postgraduate,All,All,Female,2019/20,955
"06 Agriculture, food and related studies",All postgraduate,All,All,Male,2019/20,565
"06 Agriculture, food and related studies",All postgraduate,All,All,Other,2019/20,0
"06 Agriculture, food and related studies",All postgraduate,All,All,Total,2019/20,1515
"06 Agriculture, food and related studies",All postgraduate,All,All,Female,2020/21,1010
"06 Agriculture, food and related studies",All postgraduate,All,All,Male,2020/21,625
"06 Agriculture, food and related studies",All postgraduate,All,All,Other,2020/21,0
"06 Agriculture, food and related studies",All postgraduate,All,All,Total,2020/21,1635
"06 Agriculture, food and related studies",All postgraduate,Full-time,All,Female,2019/20,645
"06 Agriculture, food and related studies",All postgraduate,Full-time,All,Male,2019/20,400
"06 Agriculture, food and related studies",All postgraduate,Full-time,All,Other,2019/20,0
"06 Agriculture, food and related studies",All postgraduate,Full-time,All,Total,2019/20,1045
"06 Agriculture, food and related studies",All postgraduate,Full-time,All,Female,2020/21,630
"06 Agriculture, food and related studies",All postgraduate,Full-time,All,Male,2020/21,455
"06 Agriculture, food and related studies",All postgraduate,Full-time,All,Other,2020/21,0
"06 Agriculture, food and related studies",All postgraduate,Full-time,All,Total,2020/21,1085
"06 Agriculture, food and related studies",All postgraduate,Part-time,All,Female,2019/20,310
"06 Agriculture, food and related studies",All postgraduate,Part-time,All,Male,2019/20,160
"06 Agriculture, food and related studies",All postgraduate,Part-time,All,Other,2019/20,0
"06 Agriculture, food and related studies",All postgraduate,Part-time,All,Total,2019/20,470
"06 Agriculture, food and related studies",All postgraduate,Part-time,All,Female,2020/21,380
"06 Agriculture, food and related studies",All postgraduate,Part-time,All,Male,2020/21,170
"06 Agriculture, food and related studies",All postgraduate,Part-time,All,Other,2020/21,0
"06 Agriculture, food and related studies",All postgraduate,Part-time,All,Total,2020/21,550
"06 Agriculture, food and related studies",All postgraduate,All,England,Female,2019/20,665
"06 Agriculture, food and related studies",All postgraduate,All,England,Male,2019/20,365
"06 Agriculture, food and related studies",All postgraduate,All,England,Other,2019/20,0
"06 Agriculture, food and related studies",All postgraduate,All,England,Total,2019/20,1025
"06 Agriculture, food and related studies",All postgraduate,All,England,Female,2020/21,755
"06 Agriculture, food and related studies",All postgraduate,All,England,Male,2020/21,435
"06 Agriculture, food and related studies",All postgraduate,All,England,Other,2020/21,0
"06 Agriculture, food and related studies",All postgraduate,All,England,Total,2020/21,1190
"06 Agriculture, food and related studies",All postgraduate,Full-time,England,Female,2019/20,465
"06 Agriculture, food and related studies",All postgraduate,Full-time,England,Male,2019/20,265
"06 Agriculture, food and related studies",All postgraduate,Full-time,England,Other,2019/20,0
"06 Agriculture, food and related studies",All postgraduate,Full-time,England,Total,2019/20,730
"06 Agriculture, food and related studies",All postgraduate,Full-time,England,Female,2020/21,465
"06 Agriculture, food and related studies",All postgraduate,Full-time,England,Male,2020/21,325
"06 Agriculture, food and related studies",All postgraduate,Full-time,England,Other,2020/21,0
"06 Agriculture, food and related studies",All postgraduate,Full-time,England,Total,2020/21,790
"06 Agriculture, food and related studies",All postgraduate,Part-time,England,Female,2019/20,200
"06 Agriculture, food and related studies",All postgraduate,Part-time,England,Male,2019/20,100
"06 Agriculture, food and related studies",All postgraduate,Part-time,England,Other,2019/20,0
"06 Agriculture, food and related studies",All postgraduate,Part-time,England,Total,2019/20,300
"06 Agriculture, food and related studies",All postgraduate,Part-time,England,Female,2020/21,285
"06 Agriculture, food and related studies",All postgraduate,Part-time,England,Male,2020/21,110
"06 Agriculture, food and related studies",All postgraduate,Part-time,England,Other,2020/21,0
"06 Agriculture, food and related studies",All postgraduate,Part-time,England,Total,2020/21,400
"06 Agriculture, food and related studies",All postgraduate,All,Northern Ireland,Female,2019/20,60
"06 Agriculture, food and related studies",All postgraduate,All,Northern Ireland,Male,2019/20,15
"06 Agriculture, food and related studies",All postgraduate,All,Northern Ireland,Other,2019/20,0
"06 Agriculture, food and related studies",All postgraduate,All,Northern Ireland,Total,2019/20,70
"06 Agriculture, food and related studies",All postgraduate,All,Northern Ireland,Female,2020/21,40
"06 Agriculture, food and related studies",All postgraduate,All,Northern Ireland,Male,2020/21,20
"06 Agriculture, food and related studies",All postgraduate,All,Northern Ireland,Other,2020/21,0
"06 Agriculture, food and related studies",All postgraduate,All,Northern Ireland,Total,2020/21,60
"06 Agriculture, food and related studies",All postgraduate,Full-time,Northern Ireland,Female,2019/20,25
"06 Agriculture, food and related studies",All postgraduate,Full-time,Northern Ireland,Male,2019/20,10
"06 Agriculture, food and related studies",All postgraduate,Full-time,Northern Ireland,Other,2019/20,0
"06 Agriculture, food and related studies",All postgraduate,Full-time,Northern Ireland,Total,2019/20,35
"06 Agriculture, food and related studies",All postgraduate,Full-time,Northern Ireland,Female,2020/21,25
"06 Agriculture, food and related studies",All postgraduate,Full-time,Northern Ireland,Male,2020/21,10
"06 Agriculture, food and related studies",All postgraduate,Full-time,Northern Ireland,Other,2020/21,0
"06 Agriculture, food and related studies",All postgraduate,Full-time,Northern Ireland,Total,2020/21,35
"06 Agriculture, food and related studies",All postgraduate,Part-time,Northern Ireland,Female,2019/20,35
"06 Agriculture, food and related studies",All postgraduate,Part-time,Northern Ireland,Male,2019/20,5
"06 Agriculture, food and related studies",All postgraduate,Part-time,Northern Ireland,Other,2019/20,0
"06 Agriculture, food and related studies",All postgraduate,Part-time,Northern Ireland,Total,2019/20,40
"06 Agriculture, food and related studies",All postgraduate,Part-time,Northern Ireland,Female,2020/21,15
"06 Agriculture, food and related studies",All postgraduate,Part-time,Northern Ireland,Male,2020/21,10
"06 Agriculture, food and related studies",All postgraduate,Part-time,Northern Ireland,Other,2020/21,0
"06 Agriculture, food and related studies",All postgraduate,Part-time,Northern Ireland,Total,2020/21,25
"06 Agriculture, food and related studies",All postgraduate,All,Scotland,Female,2019/20,165
"06 Agriculture, food and related studies",All postgraduate,All,Scotland,Male,2019/20,130
"06 Agriculture, food and related studies",All postgraduate,All,Scotland,Other,2019/20,0
"06 Agriculture, food and related studies",All postgraduate,All,Scotland,Total,2019/20,295
"06 Agriculture, food and related studies",All postgraduate,All,Scotland,Female,2020/21,140
"06 Agriculture, food and related studies",All postgraduate,All,Scotland,Male,2020/21,115
"06 Agriculture, food and related studies",All postgraduate,All,Scotland,Other,2020/21,0
"06 Agriculture, food and related studies",All postgraduate,All,Scotland,Total,2020/21,255
"06 Agriculture, food and related studies",All postgraduate,Full-time,Scotland,Female,2019/20,115
"06 Agriculture, food and related studies",All postgraduate,Full-time,Scotland,Male,2019/20,95
"06 Agriculture, food and related studies",All postgraduate,Full-time,Scotland,Other,2019/20,0
"06 Agriculture, food and related studies",All postgraduate,Full-time,Scotland,Total,2019/20,210
"06 Agriculture, food and related studies",All postgraduate,Full-time,Scotland,Female,2020/21,80
"06 Agriculture, food and related studies",All postgraduate,Full-time,Scotland,Male,2020/21,85
"06 Agriculture, food and related studies",All postgraduate,Full-time,Scotland,Other,2020/21,0
"06 Agriculture, food and related studies",All postgraduate,Full-time,Scotland,Total,2020/21,170
"06 Agriculture, food and related studies",All postgraduate,Part-time,Scotland,Female,2019/20,50
"06 Agriculture, food and related studies",All postgraduate,Part-time,Scotland,Male,2019/20,30
"06 Agriculture, food and related studies",All postgraduate,Part-time,Scotland,Other,2019/20,0
"06 Agriculture, food and related studies",All postgraduate,Part-time,Scotland,Total,2019/20,85
"06 Agriculture, food and related studies",All postgraduate,Part-time,Scotland,Female,2020/21,55
"06 Agriculture, food and related studies",All postgraduate,Part-time,Scotland,Male,2020/21,30
"06 Agriculture, food and related studies",All postgraduate,Part-time,Scotland,Other,2020/21,0
"06 Agriculture, food and related studies",All postgraduate,Part-time,Scotland,Total,2020/21,90
"06 Agriculture, food and related studies",All postgraduate,All,Wales,Female,2019/20,65
"06 Agriculture, food and related studies",All postgraduate,All,Wales,Male,2019/20,60
"06 Agriculture, food and related studies",All postgraduate,All,Wales,Other,2019/20,0
"06 Agriculture, food and related studies",All postgraduate,All,Wales,Total,2019/20,125
"06 Agriculture, food and related studies",All postgraduate,All,Wales,Female,2020/21,75
"06 Agriculture, food and related studies",All postgraduate,All,Wales,Male,2020/21,50
"06 Agriculture, food and related studies",All postgraduate,All,Wales,Other,2020/21,0
"06 Agriculture, food and related studies",All postgraduate,All,Wales,Total,2020/21,130
"06 Agriculture, food and related studies",All postgraduate,Full-time,Wales,Female,2019/20,40
"06 Agriculture, food and related studies",All postgraduate,Full-time,Wales,Male,2019/20,35
"06 Agriculture, food and related studies",All postgraduate,Full-time,Wales,Other,2019/20,0
"06 Agriculture, food and related studies",All postgraduate,Full-time,Wales,Total,2019/20,75
"06 Agriculture, food and related studies",All postgraduate,Full-time,Wales,Female,2020/21,55
"06 Agriculture, food and related studies",All postgraduate,Full-time,Wales,Male,2020/21,35
"06 Agriculture, food and related studies",All postgraduate,Full-time,Wales,Other,2020/21,0
"06 Agriculture, food and related studies",All postgraduate,Full-time,Wales,Total,2020/21,90
"06 Agriculture, food and related studies",All postgraduate,Part-time,Wales,Female,2019/20,25
"06 Agriculture, food and related studies",All postgraduate,Part-time,Wales,Male,2019/20,25
"06 Agriculture, food and related studies",All postgraduate,Part-time,Wales,Other,2019/20,0
"06 Agriculture, food and related studies",All postgraduate,Part-time,Wales,Total,2019/20,50
"06 Agriculture, food and related studies",All postgraduate,Part-time,Wales,Female,2020/21,20
"06 Agriculture, food and related studies",All postgraduate,Part-time,Wales,Male,2020/21,15
"06 Agriculture, food and related studies",All postgraduate,Part-time,Wales,Other,2020/21,0
"06 Agriculture, food and related studies",All postgraduate,Part-time,Wales,Total,2020/21,40
"06 Agriculture, food and related studies",First degree,All,All,Female,2019/20,1720
"06 Agriculture, food and related studies",First degree,All,All,Male,2019/20,750
"06 Agriculture, food and related studies",First degree,All,All,Other,2019/20,0
"06 Agriculture, food and related studies",First degree,All,All,Total,2019/20,2470
"06 Agriculture, food and related studies",First degree,All,All,Female,2020/21,1810
"06 Agriculture, food and related studies",First degree,All,All,Male,2020/21,745
"06 Agriculture, food and related studies",First degree,All,All,Other,2020/21,0
"06 Agriculture, food and related studies",First degree,All,All,Total,2020/21,2555
"06 Agriculture, food and related studies",First degree,Full-time,All,Female,2019/20,1675
"06 Agriculture, food and related studies",First degree,Full-time,All,Male,2019/20,730
"06 Agriculture, food and related studies",First degree,Full-time,All,Other,2019/20,0
"06 Agriculture, food and related studies",First degree,Full-time,All,Total,2019/20,2410
"06 Agriculture, food and related studies",First degree,Full-time,All,Female,2020/21,1760
"06 Agriculture, food and related studies",First degree,Full-time,All,Male,2020/21,715
"06 Agriculture, food and related studies",First degree,Full-time,All,Other,2020/21,0
"06 Agriculture, food and related studies",First degree,Full-time,All,Total,2020/21,2475
"06 Agriculture, food and related studies",First degree,Part-time,All,Female,2019/20,40
"06 Agriculture, food and related studies",First degree,Part-time,All,Male,2019/20,15
"06 Agriculture, food and related studies",First degree,Part-time,All,Other,2019/20,0
"06 Agriculture, food and related studies",First degree,Part-time,All,Total,2019/20,60
"06 Agriculture, food and related studies",First degree,Part-time,All,Female,2020/21,50
"06 Agriculture, food and related studies",First degree,Part-time,All,Male,2020/21,30
"06 Agriculture, food and related studies",First degree,Part-time,All,Other,2020/21,0
"06 Agriculture, food and related studies",First degree,Part-time,All,Total,2020/21,80
"06 Agriculture, food and related studies",First degree,All,England,Female,2019/20,1400
"06 Agriculture, food and related studies",First degree,All,England,Male,2019/20,565
"06 Agriculture, food and related studies",First degree,All,England,Other,2019/20,0
"06 Agriculture, food and related studies",First degree,All,England,Total,2019/20,1965
"06 Agriculture, food and related studies",First degree,All,England,Female,2020/21,1440
"06 Agriculture, food and related studies",First degree,All,England,Male,2020/21,555
"06 Agriculture, food and related studies",First degree,All,England,Other,2020/21,0
"06 Agriculture, food and related studies",First degree,All,England,Total,2020/21,1995
"06 Agriculture, food and related studies",First degree,Full-time,England,Female,2019/20,1370
"06 Agriculture, food and related studies",First degree,Full-time,England,Male,2019/20,550
"06 Agriculture, food and related studies",First degree,Full-time,England,Other,2019/20,0
"06 Agriculture, food and related studies",First degree,Full-time,England,Total,2019/20,1925
"06 Agriculture, food and related studies",First degree,Full-time,England,Female,2020/21,1400
"06 Agriculture, food and related studies",First degree,Full-time,England,Male,2020/21,530
"06 Agriculture, food and related studies",First degree,Full-time,England,Other,2020/21,0
"06 Agriculture, food and related studies",First degree,Full-time,England,Total,2020/21,1930
"06 Agriculture, food and related studies",First degree,Part-time,England,Female,2019/20,30
"06 Agriculture, food and related studies",First degree,Part-time,England,Male,2019/20,15
"06 Agriculture, food and related studies",First degree,Part-time,England,Other,2019/20,0
"06 Agriculture, food and related studies",First degree,Part-time,England,Total,2019/20,45
"06 Agriculture, food and related studies",First degree,Part-time,England,Female,2020/21,40
"06 Agriculture, food and related studies",First degree,Part-time,England,Male,2020/21,25
"06 Agriculture, food and related studies",First degree,Part-time,England,Other,2020/21,0
"06 Agriculture, food and related studies",First degree,Part-time,England,Total,2020/21,65
"06 Agriculture, food and related studies",First degree,All,Northern Ireland,Female,2019/20,45
"06 Agriculture, food and related studies",First degree,All,Northern Ireland,Male,2019/20,20
"06 Agriculture, food and related studies",First degree,All,Northern Ireland,Other,2019/20,0
"06 Agriculture, food and related studies",First degree,All,Northern Ireland,Total,2019/20,65
"06 Agriculture, food and related studies",First degree,All,Northern Ireland,Female,2020/21,45
"06 Agriculture, food and related studies",First degree,All,Northern Ireland,Male,2020/21,30
"06 Agriculture, food and related studies",First degree,All,Northern Ireland,Other,2020/21,0
"06 Agriculture, food and related studies",First degree,All,Northern Ireland,Total,2020/21,75
"06 Agriculture, food and related studies",First degree,Full-time,Northern Ireland,Female,2019/20,45
"06 Agriculture, food and related studies",First degree,Full-time,Northern Ireland,Male,2019/20,20
"06 Agriculture, food and related studies",First degree,Full-time,Northern Ireland,Other,2019/20,0
"06 Agriculture, food and related studies",First degree,Full-time,Northern Ireland,Total,2019/20,65
"06 Agriculture, food and related studies",First degree,Full-time,Northern Ireland,Female,2020/21,45
"06 Agriculture, food and related studies",First degree,Full-time,Northern Ireland,Male,2020/21,30
"06 Agriculture, food and related studies",First degree,Full-time,Northern Ireland,Other,2020/21,0
"06 Agriculture, food and related studies",First degree,Full-time,Northern Ireland,Total,2020/21,75
"06 Agriculture, food and related studies",First degree,Part-time,Northern Ireland,Female,2019/20,0
"06 Agriculture, food and related studies",First degree,Part-time,Northern Ireland,Male,2019/20,0
"06 Agriculture, food and related studies",First degree,Part-time,Northern Ireland,Other,2019/20,0
"06 Agriculture, food and related studies",First degree,Part-time,Northern Ireland,Total,2019/20,0
"06 Agriculture, food and related studies",First degree,Part-time,Northern Ireland,Female,2020/21,
"06 Agriculture, food and related studies",First degree,Part-time,Northern Ireland,Male,2020/21,
"06 Agriculture, food and related studies",First degree,Part-time,Northern Ireland,Other,2020/21,
"06 Agriculture, food and related studies",First degree,Part-time,Northern Ireland,Total,2020/21,
"06 Agriculture, food and related studies",First degree,All,Scotland,Female,2019/20,155
"06 Agriculture, food and related studies",First degree,All,Scotland,Male,2019/20,100
"06 Agriculture, food and related studies",First degree,All,Scotland,Other,2019/20,0
"06 Agriculture, food and related studies",First degree,All,Scotland,Total,2019/20,255
"06 Agriculture, food and related studies",First degree,All,Scotland,Female,2020/21,175
"06 Agriculture, food and related studies",First degree,All,Scotland,Male,2020/21,90
"06 Agriculture, food and related studies",First degree,All,Scotland,Other,2020/21,0
"06 Agriculture, food and related studies",First degree,All,Scotland,Total,2020/21,270
"06 Agriculture, food and related studies",First degree,Full-time,Scotland,Female,2019/20,150
"06 Agriculture, food and related studies",First degree,Full-time,Scotland,Male,2019/20,95
"06 Agriculture, food and related studies",First degree,Full-time,Scotland,Other,2019/20,0
"06 Agriculture, food and related studies",First degree,Full-time,Scotland,Total,2019/20,250
"06 Agriculture, food and related studies",First degree,Full-time,Scotland,Female,2020/21,170
"06 Agriculture, food and related studies",First degree,Full-time,Scotland,Male,2020/21,90
"06 Agriculture, food and related studies",First degree,Full-time,Scotland,Other,2020/21,0
"06 Agriculture, food and related studies",First degree,Full-time,Scotland,Total,2020/21,260
"06 Agriculture, food and related studies",First degree,Part-time,Scotland,Female,2019/20,5
"06 Agriculture, food and related studies",First degree,Part-time,Scotland,Male,2019/20,0
"06 Agriculture, food and related studies",First degree,Part-time,Scotland,Other,2019/20,0
"06 Agriculture, food and related studies",First degree,Part-time,Scotland,Total,2019/20,5
"06 Agriculture, food and related studies",First degree,Part-time,Scotland,Female,2020/21,5
"06 Agriculture, food and related studies",First degree,Part-time,Scotland,Male,2020/21,0
"06 Agriculture, food and related studies",First degree,Part-time,Scotland,Other,2020/21,0
"06 Agriculture, food and related studies",First degree,Part-time,Scotland,Total,2020/21,5
"06 Agriculture, food and related studies",First degree,All,Wales,Female,2019/20,115
"06 Agriculture, food and related studies",First degree,All,Wales,Male,2019/20,65
"06 Agriculture, food and related studies",First degree,All,Wales,Other,2019/20,0
"06 Agriculture, food and related studies",First degree,All,Wales,Total,2019/20,180
"06 Agriculture, food and related studies",First degree,All,Wales,Female,2020/21,150
"06 Agriculture, food and related studies",First degree,All,Wales,Male,2020/21,65
"06 Agriculture, food and related studies",First degree,All,Wales,Other,2020/21,0
"06 Agriculture, food and related studies",First degree,All,Wales,Total,2020/21,215
"06 Agriculture, food and related studies",First degree,Full-time,Wales,Female,2019/20,110
"06 Agriculture, food and related studies",First degree,Full-time,Wales,Male,2019/20,65
"06 Agriculture, food and related studies",First degree,Full-time,Wales,Other,2019/20,0
"06 Agriculture, food and related studies",First degree,Full-time,Wales,Total,2019/20,175
"06 Agriculture, food and related studies",First degree,Full-time,Wales,Female,2020/21,145
"06 Agriculture, food and related studies",First degree,Full-time,Wales,Male,2020/21,65
"06 Agriculture, food and related studies",First degree,Full-time,Wales,Other,2020/21,0
"06 Agriculture, food and related studies",First degree,Full-time,Wales,Total,2020/21,210
"06 Agriculture, food and related studies",First degree,Part-time,Wales,Female,2019/20,5
"06 Agriculture, food and related studies",First degree,Part-time,Wales,Male,2019/20,0
"06 Agriculture, food and related studies",First degree,Part-time,Wales,Other,2019/20,0
"06 Agriculture, food and related studies",First degree,Part-time,Wales,Total,2019/20,10
"06 Agriculture, food and related studies",First degree,Part-time,Wales,Female,2020/21,5
"06 Agriculture, food and related studies",First degree,Part-time,Wales,Male,2020/21,0
"06 Agriculture, food and related studies",First degree,Part-time,Wales,Other,2020/21,0
"06 Agriculture, food and related studies",First degree,Part-time,Wales,Total,2020/21,5
"06 Agriculture, food and related studies",Other undergraduate,All,All,Female,2019/20,945
"06 Agriculture, food and related studies",Other undergraduate,All,All,Male,2019/20,480
"06 Agriculture, food and related studies",Other undergraduate,All,All,Other,2019/20,0
"06 Agriculture, food and related studies",Other undergraduate,All,All,Total,2019/20,1430
"06 Agriculture, food and related studies",Other undergraduate,All,All,Female,2020/21,1060
"06 Agriculture, food and related studies",Other undergraduate,All,All,Male,2020/21,545
"06 Agriculture, food and related studies",Other undergraduate,All,All,Other,2020/21,10
"06 Agriculture, food and related studies",Other undergraduate,All,All,Total,2020/21,1615
"06 Agriculture, food and related studies",Other undergraduate,Full-time,All,Female,2019/20,770
"06 Agriculture, food and related studies",Other undergraduate,Full-time,All,Male,2019/20,370
"06 Agriculture, food and related studies",Other undergraduate,Full-time,All,Other,2019/20,0
"06 Agriculture, food and related studies",Other undergraduate,Full-time,All,Total,2019/20,1140
"06 Agriculture, food and related studies",Other undergraduate,Full-time,All,Female,2020/21,875
"06 Agriculture, food and related studies",Other undergraduate,Full-time,All,Male,2020/21,450
"06 Agriculture, food and related studies",Other undergraduate,Full-time,All,Other,2020/21,5
"06 Agriculture, food and related studies",Other undergraduate,Full-time,All,Total,2020/21,1330
"06 Agriculture, food and related studies",Other undergraduate,Part-time,All,Female,2019/20,175
"06 Agriculture, food and related studies",Other undergraduate,Part-time,All,Male,2019/20,110
