
CAH level 1,Level of qualification,Mode of study,Country of HE provider,Sex,Academic Year,Number
01 Medicine and dentistry,All,Full-time,Scotland,Female,2020/21,1030
01 Medicine and dentistry,All,Full-time,Scotland,Male,2020/21,630
01 Medicine and dentistry,All,Full-time,Scotland,Other,2020/21,0
01 Medicine and dentistry,All,Full-time,Scotland,Total,2020/21,1660
01 Medicine and dentistry,All,Part-time,Scotland,Female,2019/20,120
01 Medicine and dentistry,All,Part-time,Scotland,Male,2019/20,80
01 Medicine and dentistry,All,Part-time,Scotland,Other,2019/20,0
01 Medicine and dentistry,All,Part-time,Scotland,Total,2019/20,200
01 Medicine and dentistry,All,Part-time,Scotland,Female,2020/21,275
01 Medicine and dentistry,All,Part-time,Scotland,Male,2020/21,200
01 Medicine and dentistry,All,Part-time,Scotland,Other,2020/21,5
01 Medicine and dentistry,All,Part-time,Scotland,Total,2020/21,475
01 Medicine and dentistry,All,All,Wales,Female,2019/20,615
01 Medicine and dentistry,All,All,Wales,Male,2019/20,345
01 Medicine and dentistry,All,All,Wales,Other,2019/20,0
01 Medicine and dentistry,All,All,Wales,Total,2019/20,960
01 Medicine and dentistry,All,All,Wales,Female,2020/21,630
01 Medicine and dentistry,All,All,Wales,Male,2020/21,340
01 Medicine and dentistry,All,All,Wales,Other,2020/21,0
01 Medicine and dentistry,All,All,Wales,Total,2020/21,965
01 Medicine and dentistry,All,Full-time,Wales,Female,2019/20,495
01 Medicine and dentistry,All,Full-time,Wales,Male,2019/20,275
01 Medicine and dentistry,All,Full-time,Wales,Other,2019/20,0
01 Medicine and dentistry,All,Full-time,Wales,Total,2019/20,770
01 Medicine and dentistry,All,Full-time,Wales,Female,2020/21,470
01 Medicine and dentistry,All,Full-time,Wales,Male,2020/21,260
01 Medicine and dentistry,All,Full-time,Wales,Other,2020/21,0
01 Medicine and dentistry,All,Full-time,Wales,Total,2020/21,730
01 Medicine and dentistry,All,Part-time,Wales,Female,2019/20,120
01 Medicine and dentistry,All,Part-time,Wales,Male,2019/20,65
01 Medicine and dentistry,All,Part-time,Wales,Other,2019/20,0
01 Medicine and dentistry,All,Part-time,Wales,Total,2019/20,190
01 Medicine and dentistry,All,Part-time,Wales,Female,2020/21,160
01 Medicine and dentistry,All,Part-time,Wales,Male,2020/21,80
01 Medicine and dentistry,All,Part-time,Wales,Other,2020/21,0
01 Medicine and dentistry,All,Part-time,Wales,Total,2020/21,235
01 Medicine and dentistry,Postgraduate (research),All,All,Female,2019/20,1380
01 Medicine and dentistry,Postgraduate (research),All,All,Male,2019/20,1045
01 Medicine and dentistry,Postgraduate (research),All,All,Other,2019/20,5
01 Medicine and dentistry,Postgraduate (research),All,All,Total,2019/20,2425
01 Medicine and dentistry,Postgraduate (research),All,All,Female,2020/21,1260
01 Medicine and dentistry,Postgraduate (research),All,All,Male,2020/21,880
